cog_job,man_job,wage_h,cog_skill,man_skill,weight
1.479893,-1.95319,20.11958,1.343474,-2.574575,.9142873
2.375721,-.7387773,17.95217,.5924706,-.146407,.9693929
.0334138,.3926735,8.221226,-.9944442,.282691,.9142873
.3500951,-1.162331,20.68759,.6646415,-.450253,1.040246
-.9135672,-.0523701,9.730942,-1.580726,1.11933,.689811
.3120789,1.055967,18.90882,-.2442293,1.00522,1.109797
-1.757647,.415648,8.96861,.8306788,-.6101301,1.115828
-.4079547,.5478154,12.10762,-1.92168,.5923918,.8941785
-.2122133,2.636873,21.67414,-2.279685,.3776579,1.405819
-.2045938,2.357689,10.46338,-.9780642,1.360488,1.126116
-.7047337,-.234562,6.576981,-.0396443,-1.158095,1.373372
2.513736,-.7613928,27.29447,.1315178,-1.030271,.8508456
.4171287,.1304114,19.95516,.2304537,-.7196818,.7870585
-.1955062,2.821798,14.94768,1.111624,-1.049116,.7870585
.557936,-.8953197,16.69656,-1.233997,.898648,.8085824
-.8570271,.4508838,23.01943,-.5966355,2.110386,.8952683
.6420716,2.08442,24.42451,.3189244,-.4144167,1.060811
-.7075458,-.2322056,17.38416,.6169191,-.9609206,.9090074
2.867145,-.7774397,20.83707,2.017389,-.6671688,.8506913
.5099909,.1605415,11.09118,-.4112273,.0708749,.8610986
1.40653,-2.275722,20.11958,.5899694,-.7431874,.9448844
-2.346192,-.0904031,12.70553,-.8118246,-.9083445,.8210076
.3705037,3.001706,27.36921,-.721294,.5480902,1.311983
.0739997,-2.421988,14.12556,-.1795312,-1.488572,1.23557
-.8375215,-1.002789,12.81016,-.4637772,-.4387912,1.699547
.2270026,.6521779,20.92676,-.2656379,.8505008,.8771037
-1.822661,.4142702,7.473841,-.6928772,1.231851,1.051661
-.7561461,.2853169,13.03438,-.6825684,.6080697,.9419402
2.411402,-.7674378,31.24066,1.349181,-.328075,.9462646
-1.272656,.2255235,12.94469,-.9669285,.284144,.9578407
.2014066,1.427157,28.62481,-.6569583,.977992,1.026472
-.3466084,.5649207,17.95217,.5953879,.7118295,.9842623
-1.389322,1.218998,7.324365,-.5541725,.1948761,.8379041
.1162424,1.13695,24.97758,-.6737266,.8080227,.8447755
-1.744631,.0907128,9.955156,-1.652347,.8440705,1.164845
-.5446217,.6572248,9.715994,-2.16083,.3953543,1.069678
.651566,2.045134,16.51719,.0904723,1.988167,1.047629
-.6754111,.8245389,16.60688,.4015681,-.8608316,1.17616
2.043526,.7446074,26.90583,-1.02965,1.9112,.940731
-.6499059,.8498388,13.87145,.1815287,.6101019,1.076224
-2.096681,.370565,17.51868,.0382237,.9203497,.9770454
-.8500954,1.048463,9.715994,-.1240747,.5325607,1.066866
-.136152,-.5260148,8.96861,.0654546,.0403488,.9325511
.3038808,1.066366,14.94768,-.0008041,1.523813,.841881
-.4369579,1.685982,16.54708,-2.2241,.3398326,.9928576
1.123419,.2644761,17.04036,1.210272,-.511184,.9767054
.9510574,-.6179015,15.65022,1.014075,-1.586074,.9767054
2.834314,-.7733584,21.55456,1.463399,-1.588358,1.016817
.7044837,-.2086124,14.05082,2.57977,-.2646441,.9362506
-.1137122,.441102,25.142,.7180448,-1.514389,1.022414
.0983604,-.3018652,11.21076,-.4171337,.034756,.9705985
-.1005001,-1.303249,1.136024,-1.012033,.2316028,.9526913
-.8251352,.4729683,11.18087,-.3622431,-.6294136,1.133118
-.048309,-1.536105,9.192825,-.9274073,.2879252,.893414
-2.71197,-.0779373,14.94768,-.4214579,.7456165,.8921918
.5643976,-.8742974,16.26308,.1842308,.4146145,.9689647
.5012916,.1627129,13.07922,.9771485,-1.420244,.931329
-.5281977,.6729144,22.34679,.1880121,.6237708,1.602488
-2.137396,.3720523,5.979073,-.3108851,1.287384,1.262565
-.0269626,-1.833372,13.82661,-.5186825,-1.951424,1.82596
.6596645,1.574939,12.70553,-.1107164,-.0698598,1.130839
-1.158568,.9406598,8.96861,-.3013924,1.265014,1.191181
-.3213341,-.1042828,10.46338,.1628006,.7434906,1.035396
-.2677622,-.4746176,9.342301,1.702529,-.925719,1.013389
-1.303341,.2229296,3.004484,.933024,.8089964,1.057924
.623441,-.3311704,15.08221,.0492431,.0549823,1.655732
-2.302832,-.0791996,27.80269,.449738,-.4213276,1.337324
